"0","1","2","3","4","5","6","7","8"
"Universitas Muhammadiyah Lampung","Pendidikan Matematika","S1","02","2594/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Indonesia","Magister Manajemen","S2","","2520/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Sekolah Tinggi Ilmu Ushuluddin Darussalam, Bangkalan, Jawa Timur","Ilmu Al-Qur'an Dan Tafsir","S1","","2599/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Hasanuddin","Teknologi Kebumian Dan Lingkungan","S3","","2555/SK/BAN-PT/Akred/D/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Pembangunan Nasional Veteran Yogyakarta","Teknik Perminyakan","S1","","2533/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Sekolah Tinggi Teologi Abdiel Ungaran","Musik Gereja","S2","","2606/SK/BAN-PT/Akred/M/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Sekolah Tinggi Teologi Injili Indonesia Purwokerto","Teologi (Akademik)","S1","","2596/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"STIPER Santo Thomas Aquinas Jayapura","Peternakan","S1","14","2624/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-04-23","Masih berlaku"
"STMIK Methodist Binjai","Teknik Informatika","S1","01","2604/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"STAI Darul Kamal NW Kembang Kerang NTB","Pendidikan Guru Madrasah Ibtidaiyah","S1","","2602/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"IAIN Sultan Amai Gorontalo","Perbankan Syari'ah","S1","","2573/SK/BAN-PT/Akred/S/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Sekolah Tinggi Teologi Bethel The Way, Jakarta","Musik Gereja","S1","","2591/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Universitas Islam Negeri Syarif Hidayatullah","Dirasat Islamiyah(Berbasis Bahasa Arab Dan Tahfidz Al-Quran)","S2","","2528/SK/BAN-PT/Akred/M/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Hasanuddin","Sastra Inggris","S1","","2524/SK/BAN-PT/Akred/S/VII/2019","2019","A","2024-07-23","Masih berlaku"
"Universitas Teknologi Surabaya","Teknik Elektro","S1","07","2608/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-23","Masih berlaku"
"Politeknik Negeri Sambas","Akuntansi Keuangan Perusahaan","D-IV","","2553/SK/BAN-PT/Akred/ST/VII/2019","2019","B","2024-07-23","Masih berlaku"
"Universitas Bung Hatta","Ilmu Hukum","S1","10","4114/SK/BAN-PT/Akred/S/X/2019","2019","B","2024-10-30","Masih berlaku"
"Universitas Terbuka","Manajemen","S2","","3622/SK/BAN-PT/Akred/M/X/2019","2019","B","2024-10-01","Masih berlaku"
"IKIP Veteran Jawa Tengah","Pendidikan Ekonomi","S1","06","4377/SK/BAN-PT/Ak-PPJ/S/XI/2019","2019","B","-","Masih berlaku"
"Universitas Syiah Kuala","Pendidikan Bahasa Indonesia","S2","","4131/SK/BAN-PT/Akred/M/X/2019","2019","B","2024-10-30","Masih berlaku"
"Universitas Bina Sarana Informatika","Administrasi Bisnis","D-III","03","4108/SK/BAN-PT/Akred/Dipl-III/X/2019","2019","B","2024-10-30","Masih berlaku"
"Universitas Muhammadiyah Sumatera Utara","Hukum","S1","01","13/SK/BAN-PT/Ak-PNB/S/I/2019","2019","A","2023-05-15","Masih berlaku"
"Politeknik Negeri Lampung","Agribisnis Pangan","D-IV","","3603/SK/BAN-PT/Akred/ST/IX/2019","2019","C","2024-09-24","Masih berlaku"
"Sekolah Tinggi Teologi Imanuel Ministry El Shadday","Teologi (Akademik)","S1","","5580/SK/BAN-PT/Akred/S/XII/2019","2019","C","2024-12-26","Masih berlaku"
"Universitas Indonesia","Kajian Pengembangan Perkotaan","S2","","4602/SK/BAN-PT/Akred/M/XI/2019","2019","A","2024-11-19","Masih berlaku"
"Universitas Wanita Internasional","Desain Komunikasi Visual","S1","04","3964/SK/BAN-PT/Akred/S/X/2019","2019","A","2024-10-22","Masih berlaku"
"STKIP PGRI Bangkalan","Pendidikan Guru Sekolah Dasar","S1","07","2509/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Universitas PGRI Madiun","Teknik Industri","S1","07","2515/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-17","Masih berlaku"
"Universitas Jenderal Soedirman","Bioteknologi Pertanian","S2","","2506/SK/BAN-PT/Akred/M/VII/2019","2019","B","2024-07-17","Masih berlaku"
"Universitas Teknokrat Indonesia","Pendidikan Olahraga","S1","02","2510/SK/BAN-PT/Akred/S/VII/2019","2019","C","2024-07-17","Masih berlaku"
