"0","1","2","3","4","5","6","7","8"
"Institut Teknologi Sepuluh Nopember","Sistem Informasi","S1","","17/SK/DE/LAM-INFOKOM/IV/2022","2022","A","2022-12-31","119 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Teknik Informatika","S2","","42/SK/DE/LAM-INFOKOM/V/2022","2022","A","2022-12-31","119 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Inovasi Sistem Dan Teknologi","S2","","4040/SK/BAN-PT/PB-PS/M/VII/2022","2022","Baik","2027-09-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Telekomunikasi","S1","","4096/SK/BAN-PT/PB-PS/S/VII/2022","2022","Baik","2027-04-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Trasnportasi Laut","S2","","4097/SK/BAN-PT/PB-PS/M/VII/2022","2022","Baik","2026-07-15","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Pendidikan Profesi Arsitek","Profesi","","4066/SK/BAN-PT/PB-PS/PP/VII/2022","2022","Baik","2026-09-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Profesi Insinyur","Profesi","","4646/SK/BAN-PT/Ak.P/PP/VII/2022","2022","Baik","2027-07-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Rekayasa Perawatan Dan Restorasi Bangunan Sipil","S2 Terapan","","5181/SK/BAN-PT/Ak.P/MTr/VIII/2022","2022","Baik","2024-08-02","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Desain Interior","S2","","5430/SK/BAN-PT/Ak.P/M/VIII/2022","2022","Baik","2024-08-14","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Biomedik / Teknik Biomedis","S1","","0027/SK/LAM Teknik/AS/VIII/2022","2022","Unggul","2027-08-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Elektro","S1","","0011/SK/LAM Teknik/AS/VIII/2022","2022","Unggul","2027-08-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Kimia","S2","","0047/SK/LAM Teknik/AM/VIII/2022","2022","Unggul","2027-08-20","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Sains Manajemen","S2","","5733/SK/BAN-PT/Ak.P/M/VIII/2022","2022","Baik","2024-08-28","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknologi Kedokteran","S1","","5751/SK/BAN-PT/Ak.P/S/VIII/2022","2022","Baik","2024-08-30","Masih berlaku"
"Institut Teknologi Sepuluh Nopember","Teknik Industri","S3","","0116/SK/LAM Teknik/Smtr/IX/2022","2022","A","2022-12-20","108 hari lagi kadaluarsa"
"Institut Teknologi Sepuluh Nopember","Teknik Industri","S1","","0117/SK/LAM Teknik/Smtr/IX/2022","2022","Unggul","2022-12-20","108 hari lagi kadaluarsa"
